n	div-checks	nanos
0	0	9947.0
1	1	19310.0
2	2	7021.0
3	5	19602.0
4	8	31305.0
5	12	46812.0
6	16	7195798.0
7	20	56759.0
8	24	69632.0
9	29	81920.0
10	34	101522.0
11	39	113225.0
12	44	100352.0
13	49	140727.0
14	54	224403.0
15	59	155355.0
16	64	137801.0
17	70	145408.0
18	76	145116.0
19	82	123173.0
20	88	133706.0
21	94	134583.0
22	100	165888.0
23	106	184905.0
24	112	185783.0
25	118	120539.0
26	124	135753.0
27	130	136339.0
28	136	141312.0
29	142	148041.0
30	148	136046.0
31	154	112933.0
32	160	117321.0
33	167	150089.0
34	174	107666.0
35	181	52078.0
36	188	55004.0
37	195	137508.0
38	202	143945.0
39	209	82798.0
40	216	85139.0
41	223	90405.0
42	230	91282.0
43	237	158867.0
44	244	138679.0
45	251	100937.0
46	258	186076.0
47	265	123465.0
48	272	325047.0
49	279	133413.0
50	286	167643.0
51	293	282331.0
52	300	155648.0
53	307	162377.0
54	314	138679.0
55	321	156818.0
56	328	68754.0
57	335	68462.0
58	342	69340.0
59	349	153600.0
60	356	225280.0
61	363	137216.0
62	370	155063.0
63	377	162084.0
64	384	145701.0
65	392	147749.0
66	400	179639.0
67	408	157403.0
68	416	160329.0
69	424	231717.0
70	432	91282.0
71	440	86894.0
72	448	218258.0
73	456	109714.0
74	464	139850.0
75	472	154185.0
76	480	83675.0
77	488	136338.0
78	496	85431.0
79	504	88942.0
80	512	67584.0
81	520	50615.0
82	528	128146.0
83	536	227913.0
84	544	239031.0
85	552	246345.0
86	560	272092.0
87	568	234058.0
88	576	133705.0
89	584	124343.0
90	592	145700.0
91	600	155356.0
92	608	158574.0
93	616	154186.0
94	624	159744.0
95	632	167936.0
96	640	232595.0
97	648	167936.0
98	656	176420.0
99	664	161792.0
100	672	163255.0
